env, ud, task, x, y, div, rank
control,2530,5,17,21,1.02631371386,54.1666666667
control,1694,5,10,51,1.16399045755,87.75
control,2260,6,37,23,1.70952633232,85.8611111111
control,9772,8,58,5,0.747584679825,6.58333333333
control,1469,1,14,29,0.795040279385,95.6666666667
control,1365,4,3,27,0.0,0.0
control,1948,7,11,30,1.32151018874,76.1944444444
control,1462,2,10,29,0.721928094887,95.5277777778
control,9110,9,48,32,2.16154193334,87.8888888889
control,4334,3,47,21,1.24151018874,35.4444444444
control,3408,7,12,2,1.17712456976,61.3055555556
control,28479,8,32,21,1.22523577947,50.6944444444
control,1369,2,44,14,0.0,0.0
control,2046,5,40,6,0.916118213778,78.25
control,7727,3,34,59,1.36997407527,71.0555555556
control,29484,9,46,18,1.59418595764,86.1111111111
control,1287,1,13,19,0.0,0.0
control,2908,6,35,9,1.24151018874,74.3888888889
control,1421,4,52,1,0.721928094887,98.1944444444
control,2003,1,17,28,0.0,0.0
control,3057,5,25,25,0.529360865287,41.9722222222
control,3088,3,33,33,0.402179190202,37.2777777778
control,17258,9,51,22,1.2977968116,46.75
control,2911,6,25,46,1.40410745139,95.6944444444
control,2338,4,58,35,0.970950594455,97.1111111111
control,1053,2,5,6,0.0,0.0
control,49895,8,7,40,0.794309554641,6.33333333333
control,5472,7,16,40,1.48399045755,69.7222222222
control,770,4,22,8,0.529360865287,83.5277777778
control,1056,3,13,22,0.942683189255,84.6111111111
control,10860,8,52,38,2.78268318926,99.9722222222
control,1287,7,34,31,1.57134643325,96.0555555556
control,510,2,19,7,0.0,0.0
control,1327,5,27,29,2.14545139931,99.3611111111
control,911,1,19,7,1.38825903574,98.6944444444
control,980,6,24,7,1.68154193334,98.5277777778
control,4258,9,15,29,0.874309554641,12.1111111111
control,813,4,32,16,0.970950594455,95.25
control,878,5,25,5,0.794309554641,88.3333333333
control,1526,6,14,12,0.639556365374,24.75
control,27639,3,42,15,1.24151018874,54.0833333333
control,659,2,32,14,0.0,0.0
control,786,1,30,12,0.85545081056,93.8611111111
control,63730,9,25,41,1.67962753634,70.9722222222
control,3145,7,0,15,0.566509506553,7.05555555556
control,1281,2,49,58,0.0,0.0
control,2525,7,17,44,1.10631371386,42.1388888889
control,2221,6,41,29,1.51326968952,90.6666666667
control,1570,1,51,54,0.0,0.0
control,2255,3,37,32,1.60273953953,88.0833333333
control,2344,5,34,26,0.874309554641,53.8055555556
control,13134,9,25,3,1.68385618977,73.4166666667
control,1662,4,38,49,0.0,0.0
control,10027,8,56,19,1.10631371386,22.8333333333
control,57145,8,7,10,1.32151018874,37.4444444444
control,1452,4,1,31,1.23449779679,99.1111111111
control,2689,6,48,14,1.49868857045,86.8333333333
control,2798,5,20,24,1.59962753634,74.4166666667
control,1172,1,1,23,0.0,0.0
control,3508,9,30,26,1.51430295147,65.2222222222
control,1339,2,4,28,0.904381457724,97.5277777778
control,2753,3,53,7,2.12642831099,98.9444444444
control,2739,7,45,13,2.14771107002,99.0555555556
control,1147,2,29,40,0.0,0.0
control,2266,3,39,19,1.2977968116,67.6666666667
control,1661,4,18,33,0.85545081056,96.4166666667
control,1960,5,26,15,0.634309554641,59.3333333333
control,1972,6,16,16,1.15854883189,83.4166666667
control,2566,7,17,35,1.02631371386,29.4444444444
control,24881,9,42,38,1.17712456976,25.25
control,1590,1,43,1,0.0,0.0
control,48801,8,10,12,0.954309554641,13.6944444444
control,5670,8,24,22,0.996118213778,24.5833333333
control,808,1,45,27,0.0,0.0
control,1861,6,51,11,0.795040279385,75.5833333333
control,1939,5,48,3,1.40567805525,98.1111111111
control,3903,3,25,32,1.98545139931,98.7777777778
control,1685,4,55,9,0.85545081056,89.9166666667
control,1657,2,5,43,0.0,0.0
control,2209,7,24,22,1.09712456976,69.9444444444
control,3886,9,27,35,0.764114054554,21.0277777778
control,2691,5,29,2,0.482179190202,52.6388888889
control,2282,2,44,4,0.85545081056,94.7777777778
control,2285,4,54,14,0.942683189255,96.5555555556
control,6924,7,11,37,2.4977968116,99.8055555556
control,2113,1,47,9,0.0,0.0
control,15219,9,5,41,1.46438145772,51.1388888889
control,24596,8,21,11,0.95104566058,12.3888888889
control,3424,6,29,28,0.639556365374,9.97222222222
control,2620,3,37,5,0.764114054554,68.4722222222
control,7947,8,36,47,1.68385618977,67.75
control,1370,1,48,18,0.0,0.0
control,8343,9,12,57,1.59418595764,77.8055555556
control,4190,3,22,5,0.874309554641,11.9722222222
control,2097,5,43,40,1.01543127956,83.8611111111
control,2260,6,53,32,0.916118213778,63.5833333333
control,2672,7,48,44,1.89712456976,89.2222222222
control,1196,2,43,44,0.0,0.0
control,1968,4,48,34,0.942683189255,90.5
control,670,1,22,17,0.529360865287,85.8055555556
control,2245,7,35,23,1.25543127956,63.8055555556
control,1250,6,16,28,0.95104566058,85.6944444444
control,1333,5,21,14,0.866313713865,83.1666666667
control,424,2,24,9,0.0,0.0
control,23257,8,15,56,1.45131468865,73.5555555556
control,1498,3,7,2,0.402179190202,49.9444444444
control,649,4,22,9,0.529360865287,87.5555555556
control,10140,9,22,30,0.764114054554,17.1666666667
control,23898,3,48,48,1.32151018874,46.2222222222
control,28271,9,44,59,1.03892059503,20.1666666667
control,1949,2,41,57,0.0,0.0
control,2936,6,28,16,1.01543127956,53.0833333333
control,2267,4,39,53,0.634309554641,78.7222222222
control,29103,8,57,14,2.00385618977,86.3611111111
control,1695,1,0,35,0.0,0.0
control,3652,7,22,38,1.81712456976,84.75
control,2474,5,30,53,0.639556365374,67.1388888889
control,1528,5,30,29,1.62190118891,93.9166666667
control,2525,6,11,5,0.916118213778,33.5277777778
control,1118,4,35,15,0.721928094887,93.75
control,876,2,35,18,0.0,0.0
control,1002,1,34,14,0.989587521222,98.9722222222
control,78379,8,31,37,1.91933083224,87.5555555556
control,2560,7,30,27,1.14523577947,46.7777777778
control,44330,9,46,6,0.996118213778,26.5
control,2554,3,11,4,1.60385618977,86.3333333333
control,3030,7,17,45,2.05868857045,89.4444444444
control,692,1,22,2,0.0,0.0
control,1498,4,40,6,0.795040279385,96.0833333333
control,2544,6,38,28,1.31999583875,63.3611111111
control,2257,3,29,8,1.59430295147,91.1111111111
control,1234,2,41,8,0.0,0.0
control,2886,9,47,11,1.56151018874,61.6111111111
control,43035,8,50,46,1.02631371386,29.1944444444
control,2130,5,55,24,0.402179190202,28.5277777778
control,3403,6,15,19,1.478845536,89.1944444444
control,1714,1,34,56,0.0,0.0
control,5175,7,35,47,1.59933083224,79.6111111111
control,4674,3,18,20,2.13868857045,96.1111111111
control,10359,9,20,20,1.18631371386,28.7777777778
control,1643,2,40,9,0.0,0.0
control,10982,8,33,49,2.25524191736,97.8888888889
control,2695,4,53,48,0.0,0.0
control,3327,5,41,24,0.942683189255,61.0833333333
control,1502,4,34,53,0.904381457724,86.5833333333
control,873,1,21,46,0.0,0.0
control,2084,5,25,28,0.794309554641,39.1666666667
control,56436,9,45,44,1.93923653617,64.0555555556
control,1779,6,38,31,1.24399045755,96.6944444444
control,1569,3,32,29,0.970950594455,92.2222222222
control,1551,2,58,14,0.0,0.0
control,32297,8,58,24,2.16096404744,87.7222222222
control,2505,7,25,28,1.72913533215,76.1111111111
control,2417,6,51,52,2.07170568882,95.8055555556
control,8661,9,49,14,0.874309554641,11.8333333333
control,7207,8,41,39,1.01543127956,28.3888888889
control,1783,4,38,40,1.27326968952,96.9722222222
control,1159,1,46,58,0.0,0.0
control,2871,3,0,49,1.67290559532,82.6666666667
control,1423,2,43,37,0.529360865287,92.5555555556
control,2175,5,25,22,1.56567805525,85.5555555556
control,2350,7,55,19,2.11293503962,97.1111111111
control,2850,7,59,53,1.6879430946,82.25
control,806,1,43,45,0.998845535995,99.1388888889
control,1520,5,53,51,0.904381457724,83.3055555556
control,1679,3,50,45,1.49366068969,94.6666666667
control,2255,6,40,42,1.14523577947,68.8611111111
control,1343,2,53,46,1.51662381108,99.9444444444
control,1312,4,54,46,0.402179190202,71.4444444444
control,14754,8,44,24,1.5394705708,65.1111111111
control,4372,3,25,36,1.58296619547,85.0277777778
control,9148,9,46,47,1.80735181444,75.5833333333
control,1434,2,32,26,0.0,0.0
control,4566,7,23,14,0.916118213778,34.0
control,4285,5,56,52,1.03504027938,66.7777777778
control,13243,8,4,2,1.10631371386,32.75
control,1346,1,31,50,0.0,0.0
control,4113,6,9,41,1.15854883189,82.2777777778
control,3582,4,12,50,0.242292189082,82.8611111111
control,22952,9,53,54,1.73366068969,88.75
control,2325,2,46,22,0.795040279385,98.3611111111
control,3507,5,34,39,1.2994705708,74.8055555556
control,2188,1,43,26,0.0,0.0
control,5004,7,5,24,0.916118213778,43.75
control,10400,3,6,45,0.996118213778,47.3611111111
control,3125,4,35,26,1.13131468865,95.3888888889
control,18925,8,6,41,1.09712456976,31.2777777778
